ID lon lat   lonIJ latIJ depthIJ   dist[km]
P0325 286.2151 -38.2526   286.2125 -38.2542 267.6   0.287
P0326 286.1043 -38.2580   286.1042 -38.2542 251.8   0.427
P0327 286.0167 -38.2333   286.0208 -38.2292 312.1   0.590
P0328 285.9167 -38.2167   285.9208 -38.2208 328.8   0.590
P0329 285.8539 -38.2181   285.8542 -38.2208 208.4   0.305
P0330 285.8587 -38.2706   285.8625 -38.2708 155.1   0.333
P0331 285.8708 -38.3375   285.8708 -38.3375 139.8   0.003
P0332 285.9299 -38.3896   285.9292 -38.3875 109.0   0.243
P0333 286.0024 -38.4810   286.0042 -38.4792 134.0   0.256
P0334 286.0749 -38.5209   286.0708 -38.5208 125.7   0.355
P0335 286.0918 -38.5916   286.0958 -38.5875 166.6   0.576
P0336 286.0937 -38.6568   286.0958 -38.6542 194.4   0.347
P0337 286.0944 -38.7289   286.0958 -38.7292 201.0   0.128
P0338 286.1288 -38.7962   286.1292 -38.7958 197.5   0.052
P0339 286.1780 -38.8697   286.1792 -38.8708 197.2   0.162
P0340 286.2158 -38.9185   286.2125 -38.9208 194.9   0.387
P0341 286.2908 -38.9514   286.2875 -38.9542 188.9   0.420
P0342 286.2959 -38.9901   286.2958 -38.9875 197.9   0.290
P0343 286.2324 -39.0538   286.2292 -39.0542 218.8   0.283
P0344 286.1744 -39.0761   286.1708 -39.0792 182.6   0.460
P0345 286.1120 -39.1130   286.1125 -39.1125 189.7   0.071
P0346 286.1178 -39.2038   286.1208 -39.2042 204.6   0.265
P0347 286.1431 -39.2571   286.1458 -39.2542 181.8   0.403
P0348 286.1463 -39.3126   286.1458 -39.3125 197.4   0.042
P0349 286.1504 -39.3666   286.1542 -39.3625 170.0   0.560
P0350 286.1481 -39.4373   286.1458 -39.4375 200.4   0.196
P0351 286.1105 -39.4865   286.1125 -39.4875 189.1   0.205
P0352 286.1213 -39.5290   286.1208 -39.5292 218.0   0.044
P0353 286.0694 -39.5981   286.0708 -39.5958 191.2   0.281
P0354 286.0217 -39.6174   286.0208 -39.6208 191.7   0.390
P0355 286.0027 -39.6948   286.0042 -39.6958 176.5   0.170
P0356 285.9840 -39.7538   285.9875 -39.7542 170.7   0.303
P0357 286.0087 -39.8126   286.0125 -39.8125 197.9   0.325
P0358 286.0035 -39.8716   286.0042 -39.8708 186.0   0.103
P0359 286.0544 -39.8964   286.0542 -39.8958 190.9   0.066
P0360 286.0541 -39.9988   286.0542 -39.9958 322.4   0.331
P0361 286.0237 -40.0710   286.0208 -40.0708 278.4   0.245
P0362 286.0712 -40.1210   286.0708 -40.1208 205.2   0.036
P0363 286.0800 -40.1875   286.0792 -40.1875 184.5   0.071
P0364 285.9676 -40.2154   285.9708 -40.2125 208.4   0.424
P0365 285.9381 -40.2639   285.9375 -40.2625 210.5   0.164
P0366 285.9714 -40.3116   285.9708 -40.3125 187.6   0.111
P0367 285.9107 -40.3475   285.9125 -40.3458 199.7   0.241
P0368 285.8694 -40.3615   285.8708 -40.3625 209.8   0.165
P0369 285.8561 -40.4464   285.8542 -40.4458 210.6   0.176
P0370 285.8709 -40.4875   285.8708 -40.4875 199.0   0.006
P0371 285.8519 -40.5545   285.8542 -40.5542 180.3   0.195
P0372 285.8124 -40.6083   285.8125 -40.6042 195.6   0.461
P0373 285.7772 -40.7153   285.7792 -40.7125 195.2   0.353
P0374 285.7660 -40.7590   285.7625 -40.7625 177.2   0.489
P0375 285.7628 -40.7921   285.7625 -40.7958 204.4   0.417
P0376 285.7629 -40.8502   285.7625 -40.8542 199.7   0.443
P0377 285.8035 -40.8779   285.8042 -40.8792 204.0   0.152
P0378 285.8136 -40.9550   285.8125 -40.9542 208.6   0.131
P0379 285.8349 -41.0074   285.8375 -41.0042 201.1   0.421
P0380 285.8474 -41.0805   285.8458 -41.0792 197.6   0.198
P0381 285.8376 -41.1322   285.8375 -41.1292 199.5   0.338
P0382 285.8331 -41.2240   285.8292 -41.2208 200.4   0.483
P0383 285.7565 -41.2382   285.7542 -41.2375 228.3   0.210
P0384 285.7582 -41.3126   285.7542 -41.3125 205.2   0.338
P0385 285.7753 -41.4039   285.7792 -41.4042 207.3   0.325
P0386 285.8158 -41.4836   285.8125 -41.4875 218.2   0.514
P0387 285.8402 -41.5433   285.8375 -41.5458 218.2   0.361
P0388 285.8040 -41.5826   285.8042 -41.5792 507.8   0.383
P0389 285.7633 -41.6794   285.7625 -41.6792 160.8   0.071
P0390 285.7210 -41.7708   285.7208 -41.7708 152.7   0.014
P0391 285.5791 -41.8291   285.5792 -41.8292 151.1   0.009
P0392 285.4708 -41.8623   285.4708 -41.8625 137.2   0.022
P0393 285.4034 -41.9022   285.4042 -41.9042 151.0   0.228
P0394 285.3201 -41.9434   285.3208 -41.9458 160.3   0.278
P0395 285.3257 -42.0540   285.3292 -42.0542 169.9   0.287
P0396 285.3282 -42.1064   285.3292 -42.1042 178.5   0.261
P0397 285.3043 -42.1991   285.3042 -42.1958 184.3   0.364
P0398 285.3806 -42.2383   285.3792 -42.2375 174.5   0.148
P0399 285.3887 -42.3523   285.3875 -42.3542 197.5   0.230
P0400 285.3951 -42.3948   285.3958 -42.3958 199.7   0.130
P0401 285.3961 -42.4455   285.3958 -42.4458 197.5   0.043
P0402 285.4535 -42.4879   285.4542 -42.4875 184.7   0.071
P0403 285.4733 -42.5789   285.4708 -42.5792 197.0   0.205
P0404 285.4062 -42.6119   285.4042 -42.6125 187.3   0.180
P0405 285.3459 -42.5954   285.3458 -42.5958 185.4   0.049
P0406 285.2955 -42.6286   285.2958 -42.6292 199.2   0.069
P0407 285.2250 -42.6834   285.2292 -42.6875 179.4   0.570
P0408 285.1811 -42.7595   285.1792 -42.7625 197.2   0.370
P0409 285.0996 -42.8257   285.0958 -42.8292 216.4   0.494
P0410 285.0292 -42.8995   285.0292 -42.8958 181.0   0.409
P0411 285.0289 -43.0044   285.0292 -43.0042 197.2   0.034
P0412 285.0591 -43.1288   285.0625 -43.1292 204.8   0.279
P0413 285.0547 -43.2135   285.0542 -43.2125 201.5   0.120
P0414 285.0655 -43.2788   285.0625 -43.2792 203.7   0.247
P0415 285.0163 -43.3590   285.0125 -43.3625 277.4   0.497
P0416 284.9844 -43.4128   284.9875 -43.4125 244.3   0.253
P0417 284.9205 -43.4318   284.9208 -43.4292 137.6   0.295
P0418 284.8372 -43.4981   284.8375 -43.4958 174.7   0.254
P0419 284.8039 -43.6026   284.8042 -43.6042 189.4   0.176
P0420 284.8929 -43.6147   284.8958 -43.6125 164.7   0.341
P0421 284.9442 -43.6556   284.9458 -43.6542 195.3   0.207
P0422 284.9993 -43.7041   284.9958 -43.7042 204.2   0.279
P0423 285.0704 -43.7629   285.0708 -43.7625 174.5   0.057
P0424 285.0265 -43.8477   285.0292 -43.8458 205.9   0.299
P0425 284.9211 -43.8594   284.9208 -43.8625 179.9   0.346
P0426 284.8460 -43.9169   284.8458 -43.9208 150.3   0.438
