1417
0.00 287.579 -31.81471 11.50 10 10 3.40 9.10 98.00 0.59
0.00 287.684 -31.81471 13.20 10 10 3.50 10.60 93.00 0.60
0.00 287.789 -31.81471 15.20 10 10 3.50 12.20 88.00 0.91
0.00 287.895 -31.81471 17.60 10 10 3.40 14.00 98.00 1.34
0.00 288 -31.81471 20.20 10 10 3.10 15.90 89.00 1.54
0.00 288.105 -31.81471 23.20 10 10 2.80 17.90 90.00 2.88
0.00 288.211 -31.81471 26.60 10 10 2.30 19.90 100.00 0.00
0.00 288.316 -31.81471 30.40 10 10 1.80 21.80 92.00 0.00
0.00 288.421 -31.81471 34.60 10 10 1.20 23.60 88.00 0.00
0.00 288.526 -31.81471 39.00 10 10 1.30 25.00 86.00 0.00
0.00 288.632 -31.81471 43.80 10 10 257.60 26.10 90.00 0.00
0.00 288.737 -31.81471 48.80 10 10 358.70 26.80 93.00 0.00
0.00 288.842 -31.81471 53.80 10 10 358.70 27.00 88.00 0.00
0.00 288.947 -31.81471 58.90 10 10 358.10 26.70 87.00 0.00
0.00 289.053 -31.81471 63.80 10 10 357.40 26.10 85.00 0.00
0.00 287.368 -31.90463 8.90 10 10 2.60 6.60 90.00 0.87
0.00 287.474 -31.90463 10.10 10 10 2.90 7.90 87.00 1.14
0.00 287.579 -31.90463 11.60 10 10 3.10 9.20 86.00 0.77
0.00 287.684 -31.90463 13.40 10 10 3.20 10.70 100.00 0.56
0.00 287.789 -31.90463 15.40 10 10 3.20 12.30 90.00 1.21
0.00 287.895 -31.90463 17.70 10 10 3.10 14.10 93.00 1.50
0.00 288 -31.90463 20.40 10 10 2.90 15.90 90.00 1.73
0.00 288.105 -31.90463 23.40 10 10 2.60 17.80 93.00 2.81
0.00 288.211 -31.90463 26.80 10 10 2.10 19.80 98.00 0.00
0.00 288.316 -31.90463 30.50 10 10 1.60 21.70 91.00 0.00
0.00 288.421 -31.90463 34.60 10 10 1.00 23.40 91.00 0.00
0.00 288.526 -31.90463 39.10 10 10 336.10 24.80 89.00 0.00
0.00 288.632 -31.90463 43.80 10 10 19.80 25.90 96.00 0.00
0.00 288.737 -31.90463 48.70 10 10 359.10 26.50 90.00 0.00
0.00 288.842 -31.90463 53.70 10 10 358.50 26.70 100.00 0.00
0.00 288.947 -31.90463 58.70 10 10 357.80 26.50 94.00 0.00
0.00 287.368 -31.99455 8.90 10 10 2.30 6.70 88.00 1.49
0.00 287.474 -31.99455 10.20 10 10 2.60 8.00 85.00 1.57
0.00 287.579 -31.99455 11.70 10 10 2.80 9.30 86.00 1.22
0.00 287.684 -31.99455 13.50 10 10 2.90 10.80 93.00 0.63
0.00 287.789 -31.99455 15.50 10 10 3.00 12.40 99.00 1.81
0.00 287.895 -31.99455 17.80 10 10 2.90 14.10 99.00 1.82
0.00 288 -31.99455 20.50 10 10 2.70 15.90 88.00 1.57
0.00 288.105 -31.99455 23.50 10 10 2.30 17.80 86.00 1.46
0.00 288.211 -31.99455 26.90 10 10 1.90 19.70 92.00 0.00
0.00 288.316 -31.99455 30.60 10 10 1.40 21.60 97.00 0.00
0.00 288.421 -31.99455 34.70 10 10 0.80 23.20 89.00 0.00
0.00 288.526 -31.99455 39.10 10 10 327.70 24.60 88.00 0.00
0.00 288.632 -31.99455 43.80 10 10 15.20 25.70 93.00 0.00
